created_at,text,url,replies,retweets,favorites,user,bioguide_id,party,state
10/15/17 22:18,"On final day of #HispanicHeritageMonth, we continue to demand that every member of Congress support the #DreamAct: https://t.co/HK6W7YwzlG",https://twitter.com/SenBennetCO/status/919688841505669120,24,55,146,SenBennetCO,B001267,D,CO
10/14/17 18:20,"Celebrating 5 yrs of breakthrough therapies &amp; the most resilient proponent of legislation, Friends of @CancerResrch: https://t.co/2PPW6Fqw2p",https://twitter.com/SenBennetCO/status/919266697718136832,5,9,29,SenBennetCO,B001267,D,CO
10/13/17 17:25,Read in full why @POTUS decision not to certify #IranNuclearDeal is wrong move: https://t.co/BiuIusIqBT,https://twitter.com/SenBennetCO/status/918890505311834112,18,36,84,SenBennetCO,B001267,D,CO
10/13/17 17:20,Not certifying #IranNuclearDeal undermines US security by risking credibility &amp; leverage w partners needed to addre‰Û_ https://t.co/7Hg8w3FHfS,https://twitter.com/SenBennetCO/status/918889206168121344,26,65,161,SenBennetCO,B001267,D,CO
10/13/17 3:23,@POTUS .@POTUS should be encouraging bipartisan negotiations to strengthen health care for millions of Americans--not undermining them,https://twitter.com/SenBennetCO/status/918678443054845954,26,28,116,SenBennetCO,B001267,D,CO
10/13/17 3:22,.@POTUS decision is a cruel move that will raise premiums for those who can least afford it. https://t.co/QN5rYMi6RN,https://twitter.com/SenBennetCO/status/918678225211068421,83,176,431,SenBennetCO,B001267,D,CO
10/12/17 21:47,Always enjoy meeting farmers &amp; ranchers across our great state of CO‰ÛÓespecially for #FarmBill listening sessions. H‰Û_ https://t.co/oE3lio89NR,https://twitter.com/SenBennetCO/status/918593919285383168,4,13,65,SenBennetCO,B001267,D,CO
10/12/17 18:15,Read my latest op-ed: Why walking away from #IranNuclearDeal would isolate U.S. &amp; severely damage our credibility https://t.co/BiuIusIqBT,https://twitter.com/SenBennetCO/status/918540592270987264,18,30,84,SenBennetCO,B001267,D,CO
10/12/17 17:47,"Melissa‰Ûªs story is why we must speak up, share experiences, &amp; fight for bipartisan health care fixes. Share your ow‰Û_ https://t.co/O0duQ66jZh",https://twitter.com/SenBennetCO/status/918533631492190208,5,12,34,SenBennetCO,B001267,D,CO
10/12/17 17:41,"This is not a tradeoff @POTUS should be willing to make. Instead, he should look to HELP Cmt for bipartisan fixes: https://t.co/i1AFs8NrLO",https://twitter.com/SenBennetCO/status/918532022859194368,10,11,58,SenBennetCO,B001267,D,CO
10/12/17 17:40,"POTUS claims EO will increase comp &amp; lower costs, but really will weaken consumer protections to create skimpier pl‰Û_ https://t.co/kcI4LFNCCr",https://twitter.com/SenBennetCO/status/918531831984779265,38,61,146,SenBennetCO,B001267,D,CO
10/12/17 15:06,RT @HarrisPolicy: Prof. Michael Greenstone gives his support to the proposed Pollution Transparency Act. More: https://t.co/nwNFFebWCY via‰Û_,https://twitter.com/SenBennetCO/status/918493204743376897,0,3,8,SenBennetCO,B001267,D,CO
10/11/17 19:11,"As father of 3 daughters, thinking of all girls around world who deserve equal rights &amp; empowerment to reach full potential. #DayoftheGirl",https://twitter.com/SenBennetCO/status/918192234603929601,23,65,377,SenBennetCO,B001267,D,CO
