"STATION","NAME","DATE","HLY-DEWP-10PCTL","HLY-DEWP-90PCTL","HLY-DEWP-NORMAL","HLY-HIDX-NORMAL","HLY-TEMP-10PCTL","HLY-TEMP-90PCTL","HLY-TEMP-NORMAL","HLY-WCHL-NORMAL"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-03T10:00:00","30.9","53.1","42.1","80.9","73.0","87.1","80.9","80.9"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-03T11:00:00","30.9","53.1","41.6","84.1","75.0","91.0","84.1","84.1"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-03T12:00:00","30.0","52.0","41.0","86.8","77.0","93.9","86.8","86.8"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-03T13:00:00","28.9","52.0","40.2","88.6","78.1","96.1","88.6","88.6"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-03T14:00:00","28.0","51.1","39.4","89.9","80.1","98.1","89.9","89.9"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-03T15:00:00","26.1","52.0","39.0","90.6","80.1","99.0","90.6","90.6"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-03T16:00:00","26.1","52.0","38.7","90.6","80.1","99.0","90.6","90.6"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-03T17:00:00","26.1","52.0","38.3","89.8","79.0","98.1","89.8","89.8"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-03T18:00:00","26.1","51.1","38.4","88.3","77.0","97.0","88.3","88.3"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-03T19:00:00","26.1","53.1","38.9","85.6","73.0","93.9","85.6","85.6"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-03T20:00:00","24.1","53.1","38.4","80.6","70.0","88.0","80.6","80.6"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-03T21:00:00","21.9","53.1","37.4","76.9","66.9","84.9","76.9","76.9"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-03T22:00:00","21.0","53.1","37.6","74.7","66.0","82.9","74.7","74.7"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-03T23:00:00","21.0","54.0","38.4","73.4","64.9","81.0","73.4","73.3"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-04T00:00:00","23.0","54.0","39.2","71.6","63.0","79.0","71.6","71.6"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-04T01:00:00","24.1","53.1","39.5","70.1","63.0","78.1","70.1","70.1"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-04T02:00:00","25.0","53.1","39.9","68.9","61.0","75.0","68.9","68.9"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-04T03:00:00","27.0","53.6","40.2","67.5","61.0","73.9","67.5","67.5"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-04T04:00:00","27.0","53.1","40.3","66.2","59.0","73.0","66.2","66.2"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-04T05:00:00","28.0","54.0","40.4","64.9","57.9","72.0","64.9","64.9"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-04T06:00:00","28.9","54.0","41.5","66.2","60.1","72.0","66.2","66.2"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-04T07:00:00","30.9","54.0","42.8","70.5","64.9","75.9","70.5","70.5"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-04T08:00:00","33.1","54.0","43.3","74.3","68.0","80.1","74.3","74.3"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-04T09:00:00","32.0","54.0","42.9","77.8","71.1","84.0","77.8","77.8"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-04T10:00:00","32.0","53.1","42.4","81.1","73.0","88.0","81.1","81.1"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-04T11:00:00","30.9","53.1","41.8","84.4","75.9","91.0","84.4","84.3"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-04T12:00:00","30.0","52.0","41.3","87.0","78.1","93.9","87.0","87.0"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-04T13:00:00","28.9","52.0","40.5","88.9","79.0","96.1","88.9","88.9"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-04T14:00:00","28.0","51.1","39.6","90.3","81.0","98.1","90.3","90.3"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-04T15:00:00","27.0","51.1","39.3","90.8","80.1","99.0","90.8","90.8"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-04T16:00:00","27.0","52.0","39.0","90.8","80.1","99.0","90.8","90.8"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-04T17:00:00","26.1","52.0","38.6","90.1","80.1","98.1","90.1","90.1"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-04T18:00:00","27.0","52.0","38.7","88.5","77.0","97.0","88.5","88.5"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-04T19:00:00","26.1","53.1","39.3","85.7","73.0","93.9","85.7","85.7"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-04T20:00:00","25.0","53.1","38.7","80.7","70.0","88.0","80.7","80.7"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-04T21:00:00","23.0","53.1","37.7","77.0","68.0","84.9","77.0","77.0"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-04T22:00:00","21.9","53.1","37.9","74.9","66.0","82.0","74.9","74.9"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-04T23:00:00","21.9","54.0","38.7","73.6","66.0","81.0","73.6","73.6"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-05T00:00:00","23.0","55.0","39.4","71.9","64.0","79.0","71.9","71.9"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-05T01:00:00","24.8","53.1","39.8","70.3","63.0","78.1","70.3","70.3"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-05T02:00:00","25.0","54.0","40.2","69.1","62.1","75.9","69.1","69.1"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-05T03:00:00","27.0","54.0","40.5","67.8","61.0","73.9","67.8","67.8"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-05T04:00:00","27.0","53.6","40.6","66.4","60.1","73.0","66.4","66.4"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-05T05:00:00","28.0","54.0","40.7","65.2","57.9","72.0","65.2","65.1"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-05T06:00:00","30.0","54.0","41.7","66.4","60.1","72.0","66.4","66.4"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-05T07:00:00","30.9","54.0","43.1","70.7","64.9","75.9","70.7","70.7"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-05T08:00:00","33.1","54.0","43.6","74.4","68.0","80.1","74.4","74.4"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-05T09:00:00","32.0","54.0","43.2","78.0","71.1","84.0","78.0","78.0"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-05T10:00:00","32.0","53.1","42.8","81.3","73.9","88.0","81.3","81.3"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-05T11:00:00","32.0","53.1","42.2","84.5","77.0","91.0","84.5","84.4"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-05T12:00:00","30.9","52.0","41.7","87.2","78.1","93.9","87.2","87.2"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-05T13:00:00","30.0","52.0","40.9","89.1","79.0","96.1","89.1","89.1"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-05T14:00:00","28.9","51.1","40.0","90.4","82.0","98.1","90.4","90.4"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-05T15:00:00","28.0","51.1","39.6","91.0","81.0","99.0","91.0","91.0"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-05T16:00:00","28.0","52.0","39.2","91.1","81.0","99.0","91.1","91.1"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-05T17:00:00","27.0","52.0","38.9","90.3","80.1","98.1","90.3","90.3"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-05T18:00:00","27.0","52.0","38.9","88.7","77.0","97.0","88.7","88.7"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-05T19:00:00","27.0","53.1","39.4","85.9","73.0","93.9","85.9","85.9"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-05T20:00:00","25.0","53.1","38.9","81.0","71.1","88.0","81.0","81.0"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-05T21:00:00","23.0","53.1","37.9","77.3","69.1","84.9","77.3","77.3"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-05T22:00:00","21.9","53.1","38.2","75.2","66.9","82.9","75.2","75.2"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-05T23:00:00","23.0","54.0","39.0","73.9","66.0","81.0","73.9","73.9"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-06T00:00:00","24.1","55.0","39.6","72.2","64.0","79.0","72.2","72.2"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-06T01:00:00","25.0","54.0","40.1","70.6","63.0","78.1","70.6","70.6"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-06T02:00:00","26.1","54.0","40.5","69.4","63.0","75.9","69.4","69.4"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-06T03:00:00","27.0","54.0","40.8","68.0","62.1","73.9","68.0","68.0"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-06T04:00:00","28.0","53.6","40.8","66.7","60.1","73.0","66.7","66.6"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-06T05:00:00","28.0","54.0","41.0","65.4","57.9","72.0","65.4","65.4"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-06T06:00:00","30.0","54.0","42.0","66.6","61.0","72.0","66.6","66.6"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-06T07:00:00","30.9","55.0","43.3","70.9","64.9","75.9","70.9","70.9"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-06T08:00:00","33.1","54.0","43.8","74.6","68.0","80.1","74.6","74.6"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-06T09:00:00","33.1","54.0","43.4","78.1","71.1","84.0","78.1","78.1"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-06T10:00:00","33.1","53.1","43.0","81.4","73.9","88.0","81.4","81.4"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-06T11:00:00","32.0","53.1","42.5","84.6","77.0","91.0","84.6","84.5"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-06T12:00:00","30.9","52.0","41.9","87.3","79.0","93.9","87.3","87.3"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-06T13:00:00","30.9","52.0","41.2","89.2","79.0","96.8","89.2","89.2"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-06T14:00:00","28.9","51.1","40.2","90.6","82.0","98.1","90.6","90.6"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-06T15:00:00","28.9","51.1","39.8","91.2","81.0","99.0","91.2","91.2"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-06T16:00:00","28.0","52.0","39.4","91.2","81.0","99.0","91.2","91.2"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-06T17:00:00","27.0","52.0","39.0","90.5","80.1","98.1","90.5","90.5"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-06T18:00:00","27.0","52.0","39.1","88.9","78.1","97.0","88.9","88.9"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-06T19:00:00","27.0","54.0","39.7","86.1","73.9","93.9","86.1","86.1"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-06T20:00:00","25.0","53.1","39.1","81.2","71.1","88.0","81.2","81.2"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-06T21:00:00","23.0","53.1","38.2","77.5","69.1","84.9","77.5","77.5"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-06T22:00:00","23.0","53.1","38.5","75.4","66.9","82.9","75.4","75.4"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-06T23:00:00","24.1","54.0","39.3","74.1","66.0","82.0","74.1","74.1"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-07T00:00:00","24.1","55.0","40.0","72.4","64.0","80.1","72.4","72.4"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-07T01:00:00","25.0","54.0","40.3","70.8","63.0","78.1","70.8","70.8"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-07T02:00:00","26.1","54.0","40.7","69.6","63.0","75.9","69.6","69.6"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-07T03:00:00","28.0","54.0","41.0","68.2","62.1","75.0","68.2","68.1"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-07T04:00:00","28.0","54.0","41.1","66.8","60.1","73.0","66.8","66.8"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-07T05:00:00","28.9","54.0","41.3","65.6","57.9","72.0","65.6","65.5"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-07T06:00:00","30.0","54.0","42.2","66.8","61.0","73.0","66.8","66.8"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-07T07:00:00","30.9","55.0","43.5","71.0","64.9","77.0","71.0","71.0"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-07T08:00:00","33.1","54.0","44.0","74.8","68.0","80.1","74.8","74.8"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-07T09:00:00","33.1","54.0","43.6","78.2","71.1","84.0","78.2","78.2"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-07T10:00:00","33.1","54.0","43.2","81.5","73.9","88.0","81.5","81.5"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-07T11:00:00","32.0","53.1","42.7","84.7","77.0","91.0","84.7","84.7"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-07T12:00:00","30.9","52.0","42.1","87.4","79.0","93.9","87.4","87.4"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-07T13:00:00","30.9","52.0","41.4","89.4","80.1","97.0","89.4","89.4"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-07T14:00:00","30.0","51.1","40.5","90.7","82.0","98.1","90.7","90.7"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-07T15:00:00","28.0","51.1","39.9","91.3","81.0","99.0","91.3","91.3"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-07T16:00:00","28.0","52.0","39.5","91.3","81.0","99.0","91.3","91.3"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-07T17:00:00","27.0","52.0","39.3","90.7","80.1","98.1","90.7","90.6"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-07T18:00:00","27.0","53.1","39.5","89.0","77.0","97.0","89.0","89.0"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-07T19:00:00","28.0","54.0","40.0","86.2","73.9","93.9","86.2","86.2"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-07T20:00:00","26.1","53.1","39.4","81.3","72.0","88.0","81.3","81.3"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-07T21:00:00","24.1","54.0","38.5","77.6","69.1","84.9","77.6","77.6"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-07T22:00:00","23.0","53.1","38.8","75.6","66.9","82.9","75.6","75.6"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-07T23:00:00","24.1","54.0","39.6","74.3","66.0","82.0","74.3","74.3"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-08T00:00:00","24.1","55.0","40.4","72.5","64.0","80.1","72.5","72.5"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-08T01:00:00","26.1","54.0","40.7","71.0","63.0","78.1","71.0","71.0"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-08T02:00:00","26.1","54.0","41.0","69.7","63.0","75.9","69.7","69.7"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-08T03:00:00","28.0","54.0","41.3","68.3","62.1","75.0","68.3","68.3"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-08T04:00:00","28.0","54.0","41.3","67.0","60.1","73.0","67.0","67.0"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-08T05:00:00","28.9","54.0","41.5","65.8","59.0","72.0","65.8","65.7"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-08T06:00:00","30.0","54.0","42.5","66.9","61.0","73.0","66.9","66.9"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-08T07:00:00","32.0","55.0","43.7","71.1","66.0","77.0","71.1","71.1"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-08T08:00:00","34.0","55.0","44.3","74.8","68.0","80.1","74.8","74.8"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-08T09:00:00","34.0","54.0","43.8","78.4","71.1","84.0","78.4","78.4"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-08T10:00:00","33.1","54.0","43.4","81.6","73.9","88.0","81.6","81.6"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-08T11:00:00","33.1","54.0","42.9","84.9","77.0","91.0","84.9","84.9"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-08T12:00:00","32.0","52.0","42.4","87.6","79.0","93.9","87.6","87.6"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-08T13:00:00","30.9","52.0","41.6","89.6","80.1","97.0","89.5","89.5"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-08T14:00:00","30.0","51.1","40.7","90.9","82.0","98.1","90.9","90.9"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-08T15:00:00","28.0","52.0","40.2","91.5","81.0","99.0","91.5","91.5"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-08T16:00:00","28.0","52.0","39.8","91.4","81.0","99.0","91.4","91.4"
